Date,Time PST,Air Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Leaf Wet u., Solar Rad W/m², 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, 2<sup>nd</sup> Air Temp °F,Location,Station ID,Station Name,Download Timestamp
2019-11-14,05:15,39.8,39.8,100.0,0.0,N @0.0,0.0,0.0,0,42.1,44.5,39.7,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,05:30,39.3,39.3,100.0,0.0,N @0.0,0.0,0.0,0,42.1,44.5,39.2,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,05:45,38.8,38.8,100.0,0.0,NW@1.1,2.8,0.0,0,42.1,44.5,38.7,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,06:00,38.7,38.7,100.0,0.0,N @0.0,0.0,0.0,0,42.1,44.5,38.6,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,06:15,38.6,38.6,100.0,0.0,N @0.0,0.0,0.0,0,42.0,44.5,38.5,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,06:30,38.7,38.7,100.0,0.0,N@0.0,1.7,0.0,0,42.0,44.5,38.5,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,06:45,38.7,38.7,100.0,0.0,N @0.0,0.0,0.0,0,42.0,44.5,38.6,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,07:00,38.8,38.8,100.0,0.0,N @0.0,0.0,0.0,1,42.0,44.5,38.7,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,07:15,38.9,38.9,100.0,0.0,N @0.0,0.0,0.0,5,42.0,44.5,38.8,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,07:30,39.6,39.6,100.0,0.0,N @0.0,0.0,0.0,7,42.0,44.5,39.5,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,07:45,39.8,39.8,100.0,0.0,N @0.0,0.0,0.0,14,41.9,44.5,39.6,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,08:00,39.8,39.8,100.0,0.0,N @0.0,0.0,0.0,13,42.0,44.5,39.6,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,08:15,39.8,39.8,100.0,0.0,N @0.0,0.0,0.0,26,42.0,44.5,39.6,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,08:30,40.4,40.4,100.0,0.0,NE@0.1,2.8,0.0,28,42.0,44.4,40.3,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,08:45,41.0,41.0,100.0,0.0,NE@2.1,4.6,0.0,43,42.1,44.4,40.9,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,09:00,41.5,41.5,100.0,0.0,NE@3.5,6.4,0.0,58,42.2,44.4,41.4,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,09:15,41.6,41.6,100.0,0.0,NE@3.8,5.7,0.0,51,42.3,44.4,41.5,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,09:30,41.8,41.8,100.0,0.0,NE@3.3,5.3,0.0,56,42.5,44.4,41.7,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,09:45,42.0,42.0,100.0,0.0,NE@3.9,6.4,0.0,61,42.6,44.4,41.9,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,10:00,42.3,42.3,100.0,0.0,NE@4.2,7.4,0.0,82,42.8,44.4,42.2,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,10:15,42.5,42.5,100.0,0.0,NE@3.7,6.0,0.0,87,42.9,44.4,42.5,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,10:30,42.6,42.6,100.0,0.0,NE@4.0,7.1,0.0,73,43.1,44.4,42.6,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,10:45,42.5,42.5,100.0,0.0,E@4.3,7.4,0.0,87,43.3,44.4,42.5,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,11:00,42.5,42.5,100.0,0.0,NE@4.3,6.4,0.0,78,43.5,44.4,42.5,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,11:15,42.3,42.3,100.0,0.0,NE@3.9,8.2,0.0,67,43.7,44.5,42.3,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,11:30,42.7,42.7,100.0,0.0,NE@4.0,7.4,0.0,92,43.9,44.5,42.6,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,11:45,42.8,42.8,100.0,0.0,NE@3.9,7.1,0.0,93,44.0,44.5,42.7,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,12:00,42.5,42.5,100.0,0.0,NE@4.2,6.4,0.0,65,44.2,44.5,42.4,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,12:15,42.5,42.5,100.0,0.0,NE@4.1,7.1,0.0,62,44.3,44.5,42.4,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,12:30,42.6,42.6,100.0,0.0,NE@4.0,6.0,0.0,69,44.5,44.5,42.5,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,12:45,42.6,42.6,100.0,0.0,NE@4.1,7.4,0.0,55,44.6,44.6,42.5,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,13:00,42.7,42.7,100.0,0.0,NE@4.4,6.7,0.0,62,44.6,44.6,42.6,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,13:15,43.0,43.0,100.0,0.0,NE@3.5,5.3,0.0,64,44.7,44.6,42.9,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,13:30,43.1,43.1,100.0,0.0,NE@2.9,5.3,0.0,52,44.8,44.7,43.1,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,13:45,43.0,43.0,100.0,0.0,E@3.2,4.9,0.0,47,44.8,44.7,43.0,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,14:00,42.9,42.9,100.0,0.0,E@2.1,4.2,0.0,37,44.9,44.7,42.8,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,14:15,43.0,43.0,100.0,0.0,NE@0.1,1.7,0.0,33,44.9,44.8,42.9,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,14:30,42.5,42.5,100.0,0.0,S@3.6,5.3,0.0,29,44.9,44.8,42.4,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,14:45,42.3,42.3,100.0,0.0,S@3.3,5.3,0.0,27,44.9,44.8,42.2,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,15:00,42.2,42.2,100.0,0.0,S@2.9,4.2,0.0,26,44.9,44.9,42.1,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,15:15,42.2,42.2,100.0,0.0,S@2.4,3.5,0.0,32,44.8,44.9,42.1,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,15:30,42.2,42.2,100.0,0.0,S@2.8,3.9,0.0,28,44.8,44.9,42.2,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,15:45,42.1,42.1,100.0,0.0,SW@2.1,3.5,0.0,16,44.7,45.0,42.0,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,16:00,42.0,42.0,100.0,0.0,SW@2.1,3.1,0.0,9,44.7,45.0,41.9,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,16:15,41.7,41.7,100.0,0.0,SW@2.2,3.1,0.0,5,44.6,45.0,41.6,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,16:30,41.5,41.5,100.0,0.0,SW@2.0,3.5,0.0,1,44.6,45.1,41.4,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,16:45,41.5,41.5,100.0,0.0,W@1.1,2.8,0.0,0,44.5,45.1,41.4,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,17:00,41.3,41.3,100.0,0.0,W@0.0,1.7,0.0,0,44.4,45.1,41.2,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,17:15,41.1,41.1,100.0,0.0,N @0.0,0.0,0.0,0,44.3,45.1,41.0,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,17:30,41.1,41.1,100.0,0.0,SW@0.5,2.1,0.0,0,44.2,45.1,40.9,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,17:45,41.0,41.0,100.0,0.0,N @0.0,0.0,0.0,0,44.2,45.2,40.9,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,18:00,41.1,41.1,100.0,0.0,S@0.9,2.8,0.0,0,44.1,45.2,41.0,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,18:15,41.0,41.0,100.0,0.0,S@1.9,2.8,0.0,0,44.0,45.2,40.9,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,18:30,40.8,40.8,100.0,0.0,SW@0.6,2.4,0.0,0,44.0,45.2,40.8,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,18:45,40.8,40.8,100.0,0.0,N @0.0,0.0,0.0,0,43.9,45.2,40.7,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,19:00,40.7,40.7,100.0,0.0,N @0.0,0.0,0.0,0,43.8,45.2,40.7,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,19:15,40.6,40.6,100.0,0.0,N @0.0,0.0,0.0,0,43.8,45.2,40.5,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,19:30,40.5,40.5,100.0,0.0,SW@0.3,2.8,0.0,0,43.7,45.2,40.4,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,19:45,40.4,40.4,100.0,0.0,N @0.0,0.0,0.0,0,43.7,45.2,40.3,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,20:00,40.4,40.4,100.0,0.0,N @0.0,0.0,0.0,0,43.6,45.3,40.3,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,20:15,40.3,40.3,100.0,0.0,N @0.0,0.0,0.0,0,43.6,45.2,40.2,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,20:30,40.2,40.2,100.0,0.0,SW@0.2,2.4,0.0,0,43.6,45.3,40.1,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,20:45,40.2,40.2,100.0,0.0,SW@0.2,2.4,0.0,0,43.5,45.2,40.2,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,21:00,40.3,40.3,100.0,0.0,SW@0.0,1.4,0.0,0,43.5,45.2,40.2,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,21:15,40.3,40.3,100.0,0.0,N @0.0,0.0,0.0,0,43.4,45.2,40.2,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,21:30,40.3,40.3,100.0,0.0,N @0.0,0.0,0.0,0,43.4,45.2,40.2,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,21:45,40.2,40.2,100.0,0.0,N @0.0,0.0,0.0,0,43.4,45.2,40.1,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,22:00,40.2,40.2,100.0,0.0,N @0.0,0.0,0.0,0,43.3,45.2,40.1,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,22:15,40.2,40.2,100.0,0.0,N @0.0,0.0,0.0,0,43.3,45.2,40.1,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,22:30,40.1,40.1,100.0,0.0,N @0.0,0.0,0.0,0,43.3,45.2,40.1,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,22:45,40.1,40.1,100.0,0.0,N @0.0,0.0,0.0,0,43.2,45.2,40.1,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,23:00,40.2,40.2,100.0,0.0,N @0.0,0.0,0.0,0,43.2,45.2,40.1,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,23:15,40.4,40.4,100.0,0.0,SW@0.9,3.1,0.0,0,43.2,45.2,40.3,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,23:30,40.4,40.4,100.0,0.0,SW@3.0,5.3,0.0,0,43.1,45.2,40.4,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,23:45,40.4,40.4,100.0,0.0,W@0.4,2.8,0.0,0,43.1,45.2,40.3,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
2019-11-14,24:00,40.3,40.3,100.0,0.0,N @0.0,0.0,0.0,0,43.1,45.2,40.2,"Ephrata, Grant County",330040,Ephrata,2020-01-21 19:50:15.183236
